date,time,side,entry,t1,t2,sl,reason,confidence,ai_confidence
2025-09-04,09:33:30,BUY,24913.75,24917.89,24922.04,24905.46,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:34:06,BUY,24915.5,24919.55,24923.61,24907.39,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:34:42,BUY,24929.55,24933.7,24937.85,24921.25,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:43:13,SELL,24888.5,24884.6,24880.7,24896.3,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,09:44:26,SELL,24890.0,24886.16,24882.32,24897.68,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,09:45:02,SELL,24886.9,24883.19,24879.49,24894.31,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,09:46:51,SELL,24893.9,24889.9,24885.9,24901.9,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,09:48:40,SELL,24899.7,24895.66,24891.62,24907.78,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,09:49:20,SELL,24899.8,24895.9,24892.0,24907.6,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,09:49:57,BUY,24910.65,24914.79,24918.93,24902.37,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:50:34,BUY,24913.4,24917.59,24921.79,24905.01,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:53:41,BUY,24911.95,24915.78,24919.61,24904.29,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:54:53,BUY,24916.55,24920.2,24923.85,24909.25,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:56:42,BUY,24912.75,24916.16,24919.56,24905.94,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:57:57,BUY,24908.4,24911.54,24914.67,24902.13,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:58:33,BUY,24908.85,24911.66,24914.47,24903.23,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,09:59:10,BUY,24910.5,24913.19,24915.89,24905.11,"Indicators only(3)|EMA9>EMA21,SMA5>SMA20,Bull candle",0.0
2025-09-04,10:02:48,SELL,24900.2,24897.49,24894.79,24905.61,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:04:01,SELL,24902.55,24899.89,24897.24,24907.86,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:04:38,SELL,24900.9,24898.37,24895.85,24905.95,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:05:14,SELL,24899.0,24896.52,24894.04,24903.96,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:05:50,SELL,24895.25,24892.86,24890.46,24900.04,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:07:03,SELL,24890.4,24887.77,24885.13,24895.67,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:07:39,SELL,24889.6,24886.91,24884.23,24894.97,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:09:27,SELL,24879.9,24876.92,24873.95,24885.85,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:10:03,SELL,24867.4,24864.13,24860.86,24873.94,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:10:39,SELL,24859.2,24855.86,24852.52,24865.88,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:11:51,SELL,24864.7,24861.0,24857.29,24872.11,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:12:29,SELL,24852.8,24848.68,24844.56,24861.04,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:13:06,SELL,24842.15,24837.77,24833.39,24850.91,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:14:37,SELL,24840.9,24836.36,24831.83,24849.97,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
2025-09-04,10:27:32,SELL,24853.7,24847.9,24842.1,24865.3,"Indicators only(3)|EMA9<EMA21,SMA5<SMA20,Bear candle",0.0
